NAVIDAD             PICTIONARY           GUARDAPOLVO        PALMERA
Coche               Rígido              Pinchar            Principio
Alquiler            Tabla                Cola               Paginas
Amarillo            Duro                 Dolor              Final



GLOBO               AFUERA               REVENTAR           CLIENTE
Aire                Exterior             Explotar           Vendedor
Soplar              Salida               Globo              Pagar
Inflar              Ir                   Bomba              Comprar
Cumpleaños         Adentro              Detonar            Razón
Boca                Echar                Dinamita           Negocio



LORO                SAMURAI              DRACULA            BOSTEZO
Pájaro             Soldado              Conde              Boca
Hablar              Espada               Sangre             Abrir
Plumas              Japón               Transilvania       Sueño
Verde               Antiguo              Colmillos          Aburrimiento
Pirata              Hara-Kiri            Vampiro            Contagioso


INDIO               TETERA               TRANVIA            SINGULAR
Plumas              Infusión            Trolebús          Plural
Tribu               Calentar             Eléctrico         Individual
Carpa               Pava                 Calle              Uno
Flecha              Agua                 Vías              Particular
Pintura             Preparar             Tren               Solo



DEPRESION           ESTORNUDO            DOMICILIO          PROPINA
Bajón              Tos                  Vivir              Mozo
Animo               Resfrió             Casa               Acomodador
Contento            Nariz                Calle              Cine
Tristeza            Pañuelo             Dirección         Dinero
Mal                 Pimienta             Numero             Asiento



PATA                NARIZ                NOTA               AYER
Pierna              Cara                 Musical            Mañana
Animal              Tabique              Canción           Tiempo
Garra               Oler                 Pentagrama         Antes
Palo                Fosas                Sonido             Día
Pisar               Anteojos             Escala             Pasado



RIO                 DIAMANTE             JARRON             NAUFRAGO
Mar                 Duro                 Flores             Isla
Pescar              Kilates              Agua               Barco
Navegar             Joyas                Adorno             Palmera
Corriente           Brillante            Porcelana          Barba
Agua                Piedra               Cristal            Botella


COLMILLO            HOMBRO               TRIGO              BALLENA
Mordedura           Cuerpo               Harina             Mar
Diente              Espalda              Grano              Animal
Marfil              Brazo                Pan                Grande
Vampiro             Parte                Cereal             Surtidor
Elefante            Cuello               Espiga             Moby Dick



FAMA                CABARET              RALLY              PAVO REAL
Reputación         Desnudarse           Carrera            Pájaro
Artistas            Streap-Tease         Auto               Ave
Celebridad          Bar                  Etapas             Pollo
Popular             Música              Competencia        Plumas
Conocido            Baile                Copiloto           Cola



NUDO                COCODRILO            GUARDAESPALDA      CUARTETO
Corbata             Dientes              Matón             Instrumentos
Marinero            Río                 Policía           Música
Atar                Piel                 Detective          Cantantes
Lazo                Animal               Proteger           Conjunto
Moño               Caimán              Cuidar             Grupo



DIARIO              NUEZ                 CAFE               POLEN
Periódico          Fruta                Taza               Flores
Matutino            Árbol               Grano              Abeja
Vespertino          Navidad              Moler              Mariposa
Quiosco             Almendra             Negro              Planta
Canillita           Avellana             Filtro             Polvo


MAGO                LLUVIA               ATEO               CARILINA
Sombrero            Agua                 Dios               Nariz
Paloma              Caer                 Creer              Papel
Truco               Paraguas             Religión          Descartable
Desaparecer         Tiempo               Vida               Pañuelo
Varita              Mojar                Muerte             Hojas



PROFESOR            TELEGRAMA            JAZZ               RONALD REAGAN
Enseñar            Mensaje              Música            Bush
Universidad         Correo               New Orleans        Actor
Colegio             Carta                Negro              Político
Facultad            Urgente              Trompeta           Presidente
Secundaria          Morse                Piano              Estados Unidos



DENTADURA POSTIZA   JARABE               ESPANTAPAJAROS     DEDO
Boca                Liquido              Asustar            Mano
Corega              Espeso               Campo              Uñas
Puente              Cuchara              Aves               Nudillos
Artificial          Frasco               Maizal             Anillo
Muelas              Tos                  Proteger           Puño



MODISTA             LAPIDA               MARTIR             DINOSAURIO
Coser               Piedra               Santo              Prehistórico
Vestido             Cementerio           Muerte             Grande
Mujer               Epitafio             Religión          Gigante
Sastre              Tumba                Sacrificio         Reptil
Probar              Sepultura            Sufrir             Antigüedad


PUERTA              GIMNASIA             PUENTE             CHOCOLATE
Entrada             Ejercicio            Cruzar             Comer
Cerradura           Pesas                Río               Bombón
Llave               Aparatos             Levadizo           Dulce
Timbre              Deporte              Colgante           Cacao
Casa                Aerobic              Sobre              Alfajor



ABANICO             PIRAÑA              AMETRALLADORA      MENSAJERO
España             Morder               Arma               Llevar
Aire                Comer                Automático        Telegrama
Mujer               Pez                  Disparar           Carta
Plegable            Diente               Balas              Paquetes
Calor               Río                 Gatillo            Moto



MINUTO              DESFILE              TARDE              HOROSCOPO
Agujas              Modas                Mañana            Astrología
Reloj               Pasar                Mediodía          Doce
Tiempo              9 de Julio           Horas              Zodiaco
Segundos            Militar              PM                 Signos
Horas               Marcha               Siesta             Futuro



INSULTO             AMIGDALAS            LOTERIA            AUTOCINE
Ofensa              Glándulas           Billete            Película
Palabras            Garganta             Números           Coche
Gritar              Inflamar             Bolillero          Estacionar
Enojado             Operación           Sorteo             Aire Libre
Decir               Niño                Juego              Mirar



ANCLA               ASOCIACION           DADOS             AEROLINEAS ARGENTINAS
Hierro              Club                 Generala          Ezeiza
Clavar              Grupo                Tirar             Aviones
Puntas              Organización         Juego             Volar
Agua                Sociedad             Cubo              Iberia
Barco               Compañía             Caras             Compañía



AGUJA               FANTASIA             TRINEO             ESPUMA
Pajar               Imaginación         Esquíes           Burbujas
Coser               Pensamiento          Patinar            Cerveza
Alfiler             Ilusión             Nieve              Lavado
Costura             Deseo                Perros             Olas
Hilo                Sueño               Hielo              Jabón



NATURALEZA          ALFABETO             ABUELO             PARIENTE
Aire                Vocales              Nieto              Abuelos
Verde               Consonantes          Padre              Padres
Animales            Leer                 Viejo              Tíos
Montaña             Abecedario           Jubilado           Familiar
Árboles             Letras               Anciano            Cónyuge




ESCARAPELA          OSRAM                MEDIANOCHE         HELADO
Azul                Luz                  Cenicienta         Frío
Blanca              Marca                Mediodía          Crema
Argentina           Lamparita            Final              Palito
Solapa              Electricidad         Hora 24            Cucurucho
Redonda             Philips              Doce en Punto      Bombón


AGUJERO             ESPUELAS             ESCAMAS            VOLEY
Pozo                Jinete               Reptiles           Pelota
Hueco               Montar               Placas             Juego
Orificio            Caballo              Piel               Remate
Hoyo                Metal                Cubrir             Saque
Colador             Puntas               Peces              Red



CENICERO            SECRETARIA           AMNESIA            CASPA
Cigarrillo          Ayudante             Recuerdos          Cuero Cabelludo
Colilla             Ejecutivo            Memoria            Shampoo
Fumar               Oficina              Acordarse          Pelo
Fósforo            Jefe                 Cabeza             Tener
Habano              Agenda               Olvidarse          Cabeza



GRASA               RESTAURANTE          RINOCERONTE        TATUAJE
Aceite              Mozos                Cuerno             Aguja
Lubricante          Mesas                Animal             Cuerpo
Gordo               Comer                África            Dibujo
Freír              Carta                Mamífero          Piel
Colesterol          Servir               Salvaje            Tinta



SALMON              DIBUJO               JOROBADO           ANANA
Río                Lápiz               Encorvado          Fruta
Rosado              Pintar               Espalda            Rodajas
Trucha              Garabato             Deforme            Piña
Ahumado             Papel                Giba               Brasil
Pez                 Retrato              Notre Dame         Comer


POLO                BAÑO                REMOLACHA          TORTUGA
Pelota              Espejo               Comida             Animal
Juego               Toilet               Tubérculo         Manuelita
Deporte             Ducha                Cocinar            Lenta
Caballo             Lavarse              Morada             Caparazón
Jinete              Inodoro              Azúcar            M. Elena Walsh



TERRAZA             CRUDO                ENSALADA           PACIENTE
Arriba              Cocinar              Comida             Hospital
Plantas             Fuego                Fría              Esperar
Sol                 Cocido               Lechuga            Curarse
Techo               Comida               Mixta              Doctor
Ropa                Carne                Tomate             Enfermo



PARARRAYOS          BOMBEROS             COBARDE            TOLDO
Tormenta            Incendio             Valor              Sol
Relámpago          Apagar               Atreverse          Lluvia
Eléctrico          Fuego                Miedo              Balcón
Protección         Sirena               Enfrentar          Tela
Techo               Mangueras            Defenderse         Protección



CHUPETE             BOTAS                JAMON              ABANDERADO
Boca                Pies                 Carne              Colegio
Bebe                Caminar              Fiambre            Alumno
Niño               Zapatos              Cerdo              Acto
Mamadera            Cuero                Cocido             Elegido
Teta                Caballo              Crudo              Notas


EDIFICIO            VALIJA               INMORTAL           PLAZA
Departamento        Viajar               Vivir              Chicos
Pisos               Guardar              Morir              Árboles
Ascensor            Equipaje             Eternidad          Jugar
Casa                Ropa                 Siempre            Tobogán
Portero             Llevar               Perpetuo           Hamacas



LLAMAR              DINAMITA             BESO               HORNO
Nombre              Nobel                Boca               Microondas
Citar               Mecha                Mejilla            Gas
Che                 Bomba                Amor               Comida
Venir               TNT                  Judas              Calor
Teléfono           Explosión           Labios             Cocina



DERECHA             PALOMA               BALDE              FUMAR
Izquierda           Ave                  Llevar             Tabaco
Mano                Pájaro              Plástico          Habano
Comer               Plumas               Recipiente         Humo
Escribir            Alas                 Agua               Pipa
Lado                Paz                  Manija             Cigarrillo



ARMADURA            PASA DE UVA          OCEANO ATLANTICO   PEINE
Metal               Corinto              Pacifica           Dientes
Usar                Semillas             Agua salada        Cabeza
Traje               Arruga               Costa              Pelo
Caballero           Fruta                Mar                Cepillo
Protección         Seca                 Olas               Espejo



MERCEDES SOSA       DESNUDO              CAMPANA            PRECIPICIO
Negra               Vestido              Tocar              Altura
Cantar              En cueros            Iglesia            Caer
Mujer               Ropa                 Bronce             Montaña
Folclore            En bolas             Badajo             Barranco
Tucumán            Sin                  Escuela            Abismo



GOLONDRINAS         CANIBAL              VENENO             DILIGENCIA
Pájaro             Comer                Antídoto          Carruaje
Primavera           Salvaje              Víbora            Caballo
Negro               Humano               Mortal             Transporte
Volar               Antropófago         Picadura           Vaquero
Volver              Tribu                Cianuro            Oeste



ESCUDO              MENTIRA              ARACELI GONZALEZ   LOCUTOR
Protección         Falso                TV                 Hablar
Defensa             Engaño              Modelo             Radio
Metal               Verdad               Banda              TV
Antiguo             Confianza            Canal 13           Noticias
Brazo               Decir                Pelo               Avisos



MOULINEX            PILA                 MENOR DE EDAD      INSECTO
Multiprocesadora    Batería             Chico              Animal
Marca               Eveready             Niño              Patas
Electrodomésticos  Duracell             18 años           Pequeño
Rallar              Energizer            Joven              Pica
Moler               Linterna             Mayor              Antenas


ASTRONAUTA          AMARGO               MUDO               EXPLOSION
Luna                Azúcar              Hablar             Pólvora
Nasa                Dulce                Voz                Detonador
Cohete              Café                Señas             Bomba
Espacio             Mate                 Sordo              Ruido
Satélite           Remedio              Boca               Dinamita



RATONERA            BUFALO                      AMAZONA            GUITARRA
Trampa              Animal              Mujer              Tocar
Queso               Buey               Caballo            Música
Cebo                Bisonte                 Montar             Cuerdas
Roedor              Indios              Jinete             Eléctrica
Atrapar             Oeste               Galopar            Instrumento




JAULA               BOXEADOR             PAPA               ATAUD
Pájaro             Guante               Patata             Cajón
Barrotes            Round                Comer              Muerto
Zoológico          K.O.                 Puré              Enterrar
Animal              Ring                 Tortilla           Cementerio
Escaparse           Peso                 Fritas             Velorio



MES                 SALCHICHA            ACUPUNTURA         MAPA
Doce                Mostaza              Clavar             Cartografía
Días               Pancho               Agujas             Atlas
Semanas             Perro                Cuerpo             Geografía
Año                Vienissima           Chino              Rutas
Calendario          Comer                Doctor             Globo terráqueo


ALIEN               RULETA               MANUBRIO           REINA
Sigourney Weaver    Números             Bicicleta          Corona
Octavo Pasajero     Bolita               Volante            Monarquía
Película           Negro                Dirigir            Príncipe
Criatura            Rojo                 Timbre             Inglaterra
Espacio             Casino               Freno              Mujer



MANICURA            PARACAIDAS           GUILLOTINA         AMANECER
Dedos               Tirarse              Cortar             Día
Cuidar              Altura               Cuchilla           Noche
Uñas               Piloto               Cabeza             Sol
Peluquería         Saltar               Francia            Alborada
Mujer               Avión               Revolución        Principio



ACEITE              TINTA                HUESO              AJEDREZ
Condimento          Lapicera             Esqueleto          Juego
Vinagre             Escribir             Romper             Tablero
Ensalada            Birome               Yeso               Ficha
